TIMESTAMP,BAROMETRIC_PRESSURE(KPA),ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,LONG TERM FUEL TRIM BANK 2,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT TERM FUEL TRIM BANK 1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,MIN,HOURS,DAYS_OF_WEEK,MONTHS,YEAR
1499536487058,,42,,6.30%,,1659,24,,,30,,43,,,,4%,MIL is OFF1 codes,P0133,71.4%,,53,18,5,7,2017
1499536499071,,42,,6.70%,,1290,26,,,30,,35,,,,4%,MIL is OFF1 codes,P0133,69.0%,,53,18,5,7,2017
1499536511089,,43,,7.50%,,1002,35,,,31,,12,,,,4%,MIL is OFF1 codes,P0133,50.6%,,53,18,5,7,2017
1499536523101,,44,,5.50%,,872,33,,,30,,0,,,,4%,MIL is OFF1 codes,P0133,53.7%,,53,18,5,7,2017
1499536535109,,45,,5.10%,,856,32,,,30,,0,,,,3%,MIL is OFF1 codes,P0133,54.1%,,53,18,5,7,2017
1499536547124,,46,,5.50%,,861,31,,,30,,0,,,,3%,MIL is OFF1 codes,P0133,54.9%,,53,18,5,7,2017
1499536559131,,48,,,,851,31,,,31,,0,,,,3%,MIL is OFF1 codes,P0133,57.6%,,53,18,5,7,2017
1499536571138,,48,,,,831,31,,,31,,0,,,,3%,MIL is OFF1 codes,P0133,56.1%,,53,18,5,7,2017
1499536583159,,50,,5.10%,,841,31,,,31,,0,,,,3%,MIL is OFF1 codes,P0133,56.5%,,53,18,5,7,2017
1499536595180,,51,,9.00%,,838,54,,,31,,21,,,,8%,MIL is OFF1 codes,P0133,57.6%,,53,18,5,7,2017
1499536607194,,51,,20.40%,,1666,57,,,31,,37,,,,4%,MIL is OFF1 codes,P0133,67.1%,,53,18,5,7,2017
1499536619206,,52,,11.00%,,1474,29,,,31,,33,,,,7%,MIL is OFF1 codes,P0133,67.8%,,53,18,5,7,2017
1499536631214,,52,,20.80%,,1242,85,,,31,,38,,,,13%,MIL is OFF1 codes,P0133,58.4%,,53,18,5,7,2017
1499536643224,,52,,28.20%,,1587,42,,,31,,36,,,,20%,MIL is OFF1 codes,P0133,64.3%,,53,18,5,7,2017
1499536655235,,53,,20.00%,,1382,28,,,31,,50,,,,4%,MIL is OFF1 codes,P0133,62.4%,,53,18,5,7,2017
1499536667251,,53,,5.90%,,1618,25,,,31,,33,,,,4%,MIL is OFF1 codes,P0133,56.1%,,53,18,5,7,2017
1499536679265,,53,,5.10%,,859,74,,,32,,28,,,,7%,MIL is OFF1 codes,P0133,50.2%,,53,18,5,7,2017
1499536691282,,53,,11.00%,,1507,45,,,31,,46,,,,10%,MIL is OFF1 codes,P0133,64.7%,,53,18,5,7,2017
1499536703297,,54,,11.40%,,1936,18,,,31,,45,,,,5%,MIL is OFF1 codes,P0133,76.5%,,53,18,5,7,2017
1499536715307,,54,,20.40%,,1878,24,,,32,,43,,,,12%,MIL is OFF1 codes,P0133,67.8%,,53,18,5,7,2017
1499536727322,,54,,12.20%,,1715,34,,,32,,42,,,,10%,MIL is OFF1 codes,P0133,69.0%,,53,18,5,7,2017
1499536746366,,54,,24.70%,,1612,60,,,32,,45,,,,20%,MIL is OFF1 codes,P0133,66.7%,,53,18,5,7,2017
1499536758382,,54,,6.30%,,1411,31,,,33,,13,,,,4%,MIL is OFF1 codes,P0133,57.6%,,53,18,5,7,2017
1499536770396,,55,,23.50%,,1947,38,,,33,,32,,,,6%,MIL is OFF1 codes,P0133,68.2%,,53,18,5,7,2017
1499536799328,,56,,6.30%,,1217,31,,,33,,1,,,,4%,MIL is OFF1 codes,P0133,58.8%,,53,18,5,7,2017
1499536812988,,59,,8.60%,,1180,94,,,33,,27,,,,14%,MIL is OFF1 codes,P0133,62.4%,,53,18,5,7,2017
1499536825003,,61,,25.90%,,1682,51,,,33,,22,,,,6%,MIL is OFF1 codes,P0133,61.2%,,53,18,5,7,2017
1499536837015,,63,,25.90%,,1686,50,,,33,,41,,,,28%,MIL is OFF1 codes,P0133,51.4%,,53,18,5,7,2017
1499536851100,,64,,27.10%,,1790,77,,,33,,55,,,,19%,MIL is OFF1 codes,P0133,49.0%,,53,18,5,7,2017
1499536863116,,65,,6.70%,,2073,18,,,33,,38,,,,4%,MIL is OFF1 codes,P0133,58.4%,,53,18,5,7,2017
1499536875468,,64,,5.50%,,1135,68,,,33,,35,,,,3%,MIL is OFF1 codes,P0133,49.0%,,53,18,5,7,2017
1499536891438,,64,,11.80%,,1770,20,,,33,,42,,,,4%,MIL is OFF1 codes,P0133,68.2%,,53,18,5,7,2017
1499536912722,,63,,5.10%,,824,51,,,34,,32,,,,3%,MIL is OFF1 codes,P0133,56.5%,,53,18,5,7,2017
1499536930231,,65,,32.50%,,1908,49,,,34,,46,,,,17%,MIL is OFF1 codes,P0133,68.2%,,53,18,5,7,2017
1499536959181,,66,,,,846,30,,,34,,0,,,,3%,MIL is OFF1 codes,P0133,48.2%,,53,18,5,7,2017
1499536974758,,69,,29.00%,,1651,62,,,35,,38,,,,18%,MIL is OFF1 codes,P0133,62.4%,,53,18,5,7,2017
1499536992068,,70,,28.60%,,2076,52,,,36,,56,,,,12%,MIL is OFF1 codes,P0133,69.0%,,53,18,5,7,2017
1499537008598,,69,,5.10%,,1101,28,,,36,,15,,,,3%,MIL is OFF1 codes,P0133,43.1%,,53,18,5,7,2017
1499537020611,,69,,39.60%,,1898,65,,,36,,52,,,,18%,MIL is OFF1 codes,P0133,38.8%,,53,18,5,7,2017
1499537033407,,70,,24.70%,,1630,60,,,36,,56,,,,13%,MIL is OFF1 codes,P0133,67.1%,,53,18,5,7,2017
1499537051178,,69,,26.70%,,1867,23,,,36,,36,,,,4%,MIL is OFF1 codes,P0133,68.2%,,53,18,5,7,2017
1499537063188,,69,,,,788,30,,,36,,0,,,,3%,MIL is OFF1 codes,P0133,54.1%,,53,18,5,7,2017
1499537079350,,70,,,,776,31,,,36,,0,,,,3%,MIL is OFF1 codes,P0133,54.9%,,53,18,5,7,2017
1499537102308,,73,,38.40%,,2259,73,,,37,,40,,,,18%,MIL is OFF1 codes,P0133,65.5%,,53,18,5,7,2017
1499537119330,,74,,5.90%,,1350,28,,,37,,23,,,,4%,MIL is OFF1 codes,P0133,50.2%,,53,18,5,7,2017
1499537143251,,73,,27.10%,,1739,28,,,37,,16,,,,13%,MIL is OFF1 codes,P0133,64.7%,,53,18,5,7,2017
1499537161073,,74,,,,817,33,,,37,,7,,,,3%,MIL is OFF1 codes,P0133,48.2%,,53,18,5,7,2017
